timestamp,SN,counter,time,lat,lon,alt,vSpeed,eSpeed,nSpeed,sats,temp,rh,battery,rssi
2026-01-03T23:21:26.087167,1, 1371, 1767478885, 0, 0, -17000, 0, 0, 0, 0, 5526, 115, 21, -61.00
2026-01-03T23:21:27.072751,1, 1372, 1767478886, 0, 0, -17000, 0, 0, 0, 0, 5496, 115, 21, -61.00
2026-01-03T23:21:28.077258,1, 1373, 1767478887, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 22, -61.00
2026-01-03T23:21:29.068883,1, 1374, 1767478888, 0, 0, -17000, 0, 0, 0, 0, 5556, 115, 22, -60.00
2026-01-03T23:21:30.070383,1, 1375, 1767478889, 0, 0, -17000, 0, 0, 0, 0, 5556, 114, 21, -60.00
2026-01-03T23:21:31.077364,1, 1376, 1767478890, 0, 0, -17000, 0, 0, 0, 0, 5556, 114, 21, -62.00
2026-01-03T23:21:32.070253,1, 1377, 1767478891, 0, 0, -17000, 0, 0, 0, 0, 5556, 114, 21, -60.00
2026-01-03T23:21:33.077889,1, 1378, 1767478892, 0, 0, -17000, 0, 0, 0, 0, 5546, 115, 22, -60.00
2026-01-03T23:21:34.071805,1, 1379, 1767478893, 0, 0, -17000, 0, 0, 0, 0, 5546, 114, 21, -60.00
2026-01-03T23:21:35.085229,1, 1380, 1767478894, 0, 0, -17000, 0, 0, 0, 0, 5536, 114, 22, -60.00
2026-01-03T23:21:36.088208,1, 1381, 1767478895, 0, 0, -17000, 0, 0, 0, 0, 5546, 114, 22, -61.00
2026-01-03T23:21:37.076289,1, 1382, 1767478896, 0, 0, -17000, 0, 0, 0, 0, 5536, 115, 22, -60.00
2026-01-03T23:21:38.078844,1, 1383, 1767478897, 0, 0, -17000, 0, 0, 0, 0, 5536, 115, 22, -61.00
2026-01-03T23:21:39.067828,1, 1384, 1767478898, 0, 0, -17000, 0, 0, 0, 0, 5516, 116, 22, -62.00
2026-01-03T23:21:40.075211,1, 1385, 1767478899, 0, 0, -17000, 0, 0, 0, 0, 5516, 115, 22, -63.00
2026-01-03T23:21:41.078099,1, 1386, 1767478900, 0, 0, -17000, 0, 0, 0, 0, 5506, 117, 21, -60.00
2026-01-03T23:21:42.084383,1, 1387, 1767478901, 0, 0, -17000, 0, 0, 0, 0, 5486, 117, 21, -61.00
2026-01-03T23:21:43.083068,1, 1388, 1767478902, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 22, -61.00
2026-01-03T23:21:44.085985,1, 1389, 1767478903, 0, 0, -17000, 0, 0, 0, 0, 5486, 115, 21, -61.00
2026-01-03T23:21:45.073899,1, 1390, 1767478904, 0, 0, -17000, 0, 0, 0, 0, 5486, 116, 22, -61.00
2026-01-03T23:21:46.071341,1, 1391, 1767478905, 0, 0, -17000, 0, 0, 0, 0, 5476, 115, 22, -60.00
